state,colonies,max colonies,lost colonies,percent lost,added colonies,renovated colonies,percent renovated
Texas,305000,315000,38000,12,79000,71000,23
Utah,14500,26000,1900,7,9500,4100,16
Vermont,5500,6500,520,8,2600,140,2
Virginia,5000,6000,500,8,2600,700,12
Washington,55000,122000,7500,6,15500,19000,16
West Virginia,7000,7000,570,8,2300,550,8
Wisconsin,26000,56000,6500,12,12000,7000,13
Wyoming,8500,28000,2300,8,5500,2200,8
Alabama,8500,8500,1700,20,1600,1300,15
Arizona,31000,31000,8000,26,3200,3100,10
Arkansas,29000,29000,2300,8,2600,840,3
California,590000,700000,73000,10,63000,141000,20
Colorado,34000,35000,5000,14,1500,5000,14
Connecticut,3200,3200,130,4,80,310,10
Florida,197000,220000,30000,14,53000,40000,18
Georgia,134000,138000,17000,12,27000,33000,24
Hawaii,16500,16500,1800,11,1700,3000,18
Idaho,82000,101000,14000,14,15000,21000,21
Illinois,11000,11000,660,6,700,420,4
Indiana,11500,11500,990,9,520,1200,10
Iowa,56000,57000,3600,6,1200,990,2
Kansas,6000,6000,950,16,300,180,3
Kentucky,6500,7000,840,12,300,660,9
Louisiana,53000,53000,1900,4,1600,2300,4
Maine,12500,12500,890,7,60,170,1
Maryland,7500,7500,360,5,580,680,9
Massachusetts,8000,10000,2200,22,850,730,7
Michigan,88000,88000,8000,9,3000,22000,25
Minnesota,121000,127000,29000,23,1600,6500,5
Mississippi,16500,16500,2900,18,110,650,4
Missouri,10000,10000,540,5,260,410,4
Montana,145000,153000,18500,12,3100,22000,14
Nebraska,52000,54000,6500,12,8500,5000,9
New Jersey,14000,14000,320,2,250,220,2
New Mexico,6000,7000,1200,17,3800,1000,14
New York,55000,56000,3900,7,3600,3700,7
North Carolina,18000,18000,2200,12,2600,2000,11
North Dakota,455000,490000,59000,12,23000,14500,3
Ohio,16000,16000,1300,8,1300,2100,13
Oklahoma,2100,2100,370,18,20,10,-
Oregon,116000,117000,13000,11,3000,49000,42
Pennsylvania,20000,21000,860,4,2900,2300,11
South Carolina,9500,11500,1400,12,670,1100,10
South Dakota,168000,197000,22000,11,8000,6500,3
Tennessee,9000,9000,900,10,540,1000,11
Texas,112000,124000,7500,6,7500,9500,8
Utah,30000,30000,4400,15,970,1400,5
Vermont,7000,7000,90,1,1200,80,1
Virginia,7500,7500,610,8,1000,990,13
Washington,76000,84000,12000,14,7000,3600,4
West Virginia,7500,8000,520,7,170,1200,15
Wisconsin,61000,69000,10000,14,2400,3800,6
Wyoming,33000,34000,3900,11,1800,3900,11
Alabama,6500,6500,830,13,210,1300,20
Arizona,26000,27000,5000,19,2200,330,1
Arkansas,30000,31000,6000,19,110,230,1
California,680000,1200000,170000,14,86000,46000,4
Colorado,30000,30000,3500,12,370,10,-
Connecticut,3500,3500,220,6,-,60,2
Florida,240000,290000,43000,15,53000,20000,7
Georgia,148000,164000,19500,12,6500,49000,30
Hawaii,16000,16000,940,6,1700,6000,38
Idaho,99000,159000,15000,9,9000,910,1
Illinois,12000,12000,1400,12,600,350,3
Indiana,9000,9000,3300,37,40,1200,13
Iowa,21000,21000,4200,20,630,80,-
Kansas,5500,5500,1000,18,420,10,-
Kentucky,7000,7000,2000,29,60,430,6
Louisiana,50000,52000,2600,5,130,200,-
Maine,12000,12000,1400,12,210,880,7
Maryland,7000,9000,690,8,60,90,1
Massachusetts,4900,4900,650,13,110,320,7
Michigan,77000,77000,6000,8,3900,1800,2
Minnesota,84000,86000,11500,13,2500,590,1
Mississippi,14500,25000,2000,8,330,50,-
Missouri,10000,10000,880,9,170,150,2
Montana,98000,102000,5500,5,3100,500,-
Nebraska,45000,45000,5000,11,7000,840,2
New Jersey,15500,15500,1300,8,30,80,1
New Mexico,8000,8000,3000,38,50,-,-
New York,53000,53000,4400,8,1000,1500,3
North Carolina,16000,16000,2700,17,250,300,2
North Dakota,430000,435000,29000,7,7500,1500,-
Ohio,15500,15500,2100,14,170,450,3
Oklahoma,2200,57000,2500,4,60,20,-
Oregon,89000,101000,13000,13,10500,12000,12
Pennsylvania,21000,21000,4000,19,270,1500,7
South Carolina,10000,12500,1500,12,770,790,6
South Dakota,140000,140000,21000,15,2000,430,-
Tennessee,8000,8500,1900,22,30,370,4
Texas,116000,260000,17000,7,11000,70,-
Utah,27000,27000,3400,13,180,400,1
Vermont,6500,6500,170,3,10,20,-
Virginia,7000,7000,1100,16,80,1300,19
Washington,75000,81000,11000,14,5500,1400,2
West Virginia,7000,7000,1200,17,50,70,1
Wisconsin,48000,48000,8500,18,1600,530,1
Wyoming,30000,32000,2700,8,220,-,-
