state,colonies,max colonies,lost colonies,percent lost,added colonies,renovated colonies,percent renovated
Alabama,7500,7500,820,11,1200,1500,20
Arizona,25000,26000,6000,23,810,230,1
Arkansas,22000,22000,7500,34,540,810,4
California,1150000,1540000,215000,14,205000,133000,9
Colorado,13000,21000,4900,23,1400,190,1
Connecticut,2900,2900,140,5,220,330,11
Florida,245000,255000,39000,15,57000,38000,15
Georgia,134000,139000,25000,18,29000,39000,28
Hawaii,17000,17000,1600,9,1200,5000,29
Idaho,164000,168000,22000,13,2500,2600,2
Illinois,10500,10500,2400,23,1000,630,6
Indiana,7000,8000,1000,13,300,30,-
Iowa,41000,44000,2100,5,270,110,-
Kansas,3700,3700,950,26,370,410,11
Kentucky,5500,5500,1200,22,760,20,-
Louisiana,50000,52000,3600,7,4100,320,1
Maine,1900,1900,410,22,20,30,2
Maryland,8000,8000,1600,20,400,190,2
Massachusetts,3700,3700,1000,27,240,290,8
Michigan,16500,37000,7000,19,4000,3900,11
Minnesota,39000,62000,3900,6,8000,2900,5
Mississippi,19000,32000,2000,6,28000,5500,17
Missouri,8000,8000,1400,18,1400,50,-
Montana,35000,60000,140,-,840,-,-
Nebraska,6500,14000,430,3,-,-,-
New Jersey,6500,6500,730,11,180,190,3
New Mexico,7500,7500,3900,52,180,-,-
New York,26000,26000,3700,14,400,170,1
North Carolina,18500,18500,4200,23,2400,260,1
North Dakota,66000,101000,3200,3,2600,10,-
Ohio,12000,14000,4500,32,300,580,4
Oklahoma,17000,18000,3700,21,890,240,1
Oregon,81000,89000,4800,5,16500,3900,4
Pennsylvania,14500,15000,3300,22,1200,670,4
South Carolina,13500,14500,1800,12,1900,2800,19
South Dakota,23000,29000,390,1,250,90,-
Tennessee,10000,10000,3400,34,540,470,5
Texas,205000,290000,32000,11,124000,42000,14
Utah,7500,17000,620,4,490,50,-
Vermont,5500,5500,810,15,20,-,-
Virginia,7000,7000,2100,30,540,160,2
Washington,44000,90000,4600,5,7000,870,1
West Virginia,4700,8500,2500,29,330,60,1
Wisconsin,21000,29000,4600,16,2800,1600,6
Wyoming,5500,9000,220,2,70,-,-
Alabama,7000,8500,650,8,1700,710,8
Arizona,19000,19500,2600,13,14000,2100,11
Arkansas,14500,16000,2000,13,13000,1900,12
California,1130000,1200000,110000,9,172000,255000,21
Colorado,16500,27000,3000,11,12500,4700,17
Connecticut,3600,3600,120,3,340,170,5
Florida,250000,275000,56000,20,49000,68000,25
Georgia,131000,137000,18000,13,35000,16000,12
Hawaii,16500,16500,380,2,330,3100,19
Idaho,59000,94000,6500,7,14500,29000,31
Illinois,10000,10500,2300,22,5000,2900,28
Indiana,8000,9500,1800,19,4000,730,8
Iowa,45000,47000,4300,9,15500,4800,10
Kansas,3900,3900,300,8,3500,2100,54
Kentucky,5500,6000,910,15,1500,560,9
Louisiana,48000,48000,1400,3,4900,4000,8
Maine,2200,23000,3100,13,430,790,3
Maryland,7000,8000,370,5,2400,1200,15
Massachusetts,3500,8000,260,3,910,350,4
Michigan,37000,70000,7500,11,23000,8500,12
Minnesota,69000,116000,8500,7,42000,25000,22
Mississippi,50000,50000,3400,7,4000,7000,14
Missouri,7000,7000,390,6,2100,800,11
Montana,50000,176000,5500,3,17000,22000,13
Nebraska,10500,46000,2100,5,4000,900,2
New Jersey,4400,15000,270,2,1300,170,1
New Mexico,1900,4300,50,1,1700,450,10
New York,20000,42000,2700,6,11000,2400,6
North Carolina,16000,17500,2500,14,4100,800,5
North Dakota,74000,460000,23000,5,23000,64000,14
Ohio,11000,13000,1500,12,9000,2100,16
Oklahoma,15500,15500,1700,11,10500,6500,42
Oregon,41000,107000,3400,3,17500,24000,22
Pennsylvania,15500,19500,1100,6,6000,1600,8
South Carolina,14000,14000,1300,9,2600,4000,29
South Dakota,10000,169000,17000,10,12500,65000,38
Tennessee,8000,8000,1200,15,3800,1300,16
