state,colonies,max colonies,lost colonies,percent lost,added colonies,renovated colonies,percent renovated
Louisiana,42000,44000,4100,9,4400,13000,30
Maine,11500,12000,1100,9,460,3500,29
Maryland,7500,7500,790,11,720,1200,16
Massachusetts,13500,13500,1100,8,800,560,4
Michigan,94000,99000,11000,11,3000,3300,3
Minnesota,126000,129000,21000,16,5000,2100,2
Mississippi,23000,23000,2900,13,550,850,4
Missouri,10500,10500,500,5,260,350,3
Montana,147000,154000,18500,12,3600,12500,8
Nebraska,40000,41000,3700,9,680,1400,3
New Jersey,16000,16000,680,4,650,3100,19
New Mexico,2400,5500,170,3,1000,550,10
New York,65000,69000,8500,12,3200,3700,5
North Carolina,22000,22000,2700,12,1800,5000,23
North Dakota,530000,530000,81000,15,15000,17500,3
Ohio,19500,19500,1600,8,2800,3000,15
Oklahoma,7500,7500,930,12,130,1100,15
Oregon,83000,118000,8000,7,6000,21000,18
Pennsylvania,19000,20000,980,5,1800,1900,10
South Carolina,14500,14500,2200,15,2000,1400,10
South Dakota,255000,255000,51000,20,1300,8000,3
Tennessee,14000,14000,4500,32,2200,2200,16
Texas,126000,133000,11000,8,6500,7000,5
Utah,24000,29000,2800,10,3500,1700,6
Vermont,7000,7000,120,2,80,490,7
Virginia,9000,9000,570,6,350,820,9
Washington,85000,97000,21000,22,12000,10000,10
West Virginia,10000,10000,1100,11,200,1100,11
Wisconsin,63000,63000,6500,10,2400,10000,16
Wyoming,24000,27000,3000,11,2500,3500,13
Alabama,6000,6000,660,11,240,70,1
Arizona,34000,36000,7000,19,300,300,1
Arkansas,19000,19500,1600,8,430,310,2
California,700000,1300000,136000,10,160000,37000,3
Colorado,27000,27000,8000,30,1100,440,2
Connecticut,3800,4000,300,8,10,50,1
Florida,270000,300000,30000,10,28000,15000,5
Georgia,119000,131000,20000,15,10500,10500,8
Hawaii,17000,17000,1300,8,300,50,-
Idaho,111000,196000,15500,8,1800,1000,1
Illinois,13000,13000,1700,13,1000,1500,12
Indiana,17500,17500,1300,7,160,180,1
Iowa,32000,32000,7500,23,1500,530,2
Kansas,4800,4900,650,13,190,460,9
Kentucky,8500,8500,410,5,190,170,2
Louisiana,41000,46000,2300,5,70,80,-
Maine,11500,11500,770,7,110,40,-
Maryland,6500,8000,1100,14,390,420,5
Massachusetts,5000,5000,1200,24,60,130,3
Michigan,84000,84000,6500,8,820,1500,2
Minnesota,97000,97000,15500,16,3400,60,-
Mississippi,21000,29000,3400,12,350,50,-
Missouri,9000,10000,1500,15,260,10,-
Montana,71000,79000,7000,9,770,4000,5
Nebraska,37000,38000,2700,7,320,10,-
New Jersey,15500,15500,220,1,60,80,1
New Mexico,6000,6000,70,1,30,10,-
New York,65000,65000,10000,15,630,510,1
North Carolina,17500,18000,3200,18,240,770,4
North Dakota,420000,420000,27000,6,3000,4300,1
Ohio,19000,19000,2700,14,800,390,2
Oklahoma,6500,37000,2500,7,460,-,-
Oregon,115000,130000,15000,12,650,2000,2
Pennsylvania,21000,21000,3800,18,1600,1100,5
South Carolina,12500,13500,1900,14,1400,430,3
South Dakota,189000,189000,7500,4,-,40,-
Tennessee,11000,11000,1300,12,20,70,1
Texas,129000,240000,17500,7,8000,1700,1
Utah,30000,32000,4400,14,970,90,-
Vermont,7000,7000,190,3,100,270,4
Virginia,8000,8000,1200,15,10,190,2
Washington,89000,93000,12500,13,810,100,-
West Virginia,7500,8000,1500,19,30,1600,20
Wisconsin,46000,46000,8500,18,1800,3000,7
Wyoming,27000,28000,3300,12,100,490,2
