state,colonies,max colonies,lost colonies,percent lost,added colonies,renovated colonies,percent renovated
Alabama,5500,5500,650,12,800,200,4
Arizona,22000,22000,2500,11,430,90,-
Arkansas,28000,28000,6500,23,20,20,-
California,1140000,1580000,235000,15,83000,86000,5
Colorado,5000,7500,320,4,-,-,-
Connecticut,3100,3100,270,9,170,10,-
Florida,300000,315000,46000,15,41000,16500,5
Georgia,120000,129000,14500,11,19500,8000,6
Hawaii,16500,16500,390,2,660,3700,22
Idaho,132000,145000,12500,9,4600,1100,1
Illinois,9000,9000,2300,26,210,80,1
Indiana,6000,6000,710,12,440,280,5
Iowa,7500,11500,1600,14,170,140,1
Kansas,4500,4500,1500,33,370,110,2
Kentucky,3700,4400,890,20,60,30,1
Louisiana,49000,51000,3500,7,9000,16000,31
Maine,7000,7000,470,7,10,30,-
Maryland,8000,8000,2300,29,30,10,-
Massachusetts,3800,3800,680,18,60,20,1
Michigan,24000,33000,6500,20,-,-,-
Minnesota,17000,43000,2200,5,80,470,1
Mississippi,26000,29000,2400,8,3800,1700,6
Missouri,8500,8500,1100,13,80,60,1
Montana,37000,68000,3500,5,1700,1900,3
Nebraska,13500,16500,2500,15,-,-,-
New Jersey,6000,6000,310,5,130,60,1
New Mexico,4800,4800,170,4,-,-,-
New York,24000,24000,3400,14,110,80,-
North Carolina,10500,14500,1700,12,750,890,6
North Dakota,92000,102000,1100,1,-,1300,1
Ohio,10500,12500,3500,28,1700,440,4
Oklahoma,21000,55000,50,-,20,-,-
Oregon,89000,95000,7500,8,8000,1800,2
Pennsylvania,15000,15000,2900,19,370,320,2
South Carolina,12000,13000,690,5,2000,340,3
South Dakota,18500,18500,1100,6,-,-,-
Tennessee,6000,7000,1500,21,240,320,5
Texas,260000,330000,17000,5,61000,35000,11
Utah,8500,11000,1800,16,900,-,-
Vermont,6500,6500,260,4,50,-,-
Virginia,5500,5500,1100,20,80,110,2
Washington,51000,75000,7000,9,5500,2200,3
West Virginia,5000,7000,1300,19,20,60,1
Wisconsin,16500,17000,3700,22,580,100,1
Wyoming,6500,9500,250,3,-,-,-
Alabama,7000,7000,990,14,160,330,5
Arizona,26000,30000,2000,7,5500,3800,13
Arkansas,20000,21000,2100,10,170,680,3
California,650000,700000,93000,13,87000,108000,15
Colorado,33000,36000,9500,26,2200,3400,9
Connecticut,4400,4400,200,5,70,470,11
Florida,210000,240000,20000,8,46000,33000,14
Georgia,116000,118000,13000,11,12000,36000,31
Hawaii,17000,17000,200,1,200,6000,35
Idaho,95000,111000,10500,9,8500,12500,11
Illinois,13500,13500,940,7,460,1300,10
Indiana,14000,16000,1000,6,2200,1500,9
Iowa,30000,33000,3400,10,2000,4800,15
Kansas,7500,7500,1900,25,190,400,5
Kentucky,8000,8500,850,10,700,430,5
