state,colonies,max colonies,lost colonies,percent lost,added colonies,renovated colonies,percent renovated
Vermont,6000,6500,40,1,30,20,(Z)
Virginia,8000,8000,680,9,520,220,3
Washington,84000,97000,11500,12,1800,20000,21
West Virginia,7000,7000,300,4,300,270,4
Wisconsin,60000,62000,9000,15,1300,4300,7
Wyoming,29000,35000,2500,7,270,440,1
Alabama,8000,8000,610,8,80,60,1
Arizona,36000,39000,12000,31,3000,16000,41
Arkansas,23000,27000,2400,9,1900,-,-
California,750000,1260000,149000,12,39000,75000,6
Colorado,24000,24000,2500,10,3400,-,-
Connecticut,3200,3200,210,7,40,70,2
Florida,220000,260000,37000,14,30000,28000,11
Georgia,110000,121000,18000,15,4400,1900,2
Hawaii,13000,13000,690,5,2700,760,6
Idaho,121000,145000,22000,15,5500,5500,4
Illinois,14000,14000,690,5,-,30,(Z)
Indiana,11500,11500,1100,10,140,-,-
Iowa,35000,35000,4300,12,40,30,(Z)
Kansas,8500,8500,3400,40,50,20,(Z)
Kentucky,8500,8500,1100,13,20,10,(Z)
Louisiana,55000,71000,4900,7,1100,2400,3
Maine,4700,4700,60,1,530,20,(Z)
Maryland,7500,9500,730,8,-,-,-
Massachusetts,4500,4500,260,6,30,30,1
Michigan,67000,73000,9000,12,210,1600,2
Minnesota,104000,105000,10000,10,600,40,(Z)
Mississippi,31000,34000,1500,4,500,230,1
Missouri,13500,13500,690,5,30,40,(Z)
Montana,116000,123000,10000,8,1000,80,(Z)
Nebraska,72000,73000,7000,10,10,5500,8
New Jersey,8000,8500,270,3,20,10,(Z)
New Mexico,6000,6000,290,5,290,30,1
New York,45000,45000,4000,9,260,10,(Z)
North Carolina,22000,22000,2200,10,510,70,(Z)
North Dakota,230000,275000,35000,13,2700,9000,3
Ohio,19000,19000,2400,13,200,140,1
Oklahoma,5000,10000,650,7,290,60,1
Oregon,100000,114000,8500,8,200,1400,1
Pennsylvania,22000,23000,2500,11,1300,6500,28
South Carolina,10000,17500,2200,13,640,1000,6
South Dakota,194000,205000,9000,4,2400,-,-
Tennessee,8500,10000,1100,11,70,420,4
Texas,125000,250000,25000,10,13000,2000,1
Utah,28000,28000,1900,7,120,100,(Z)
Vermont,6500,6500,940,15,10,10,(Z)
Virginia,7500,7500,750,10,-,350,5
Washington,87000,89000,6500,7,330,170,(Z)
West Virginia,7000,7000,610,9,190,140,2
Wisconsin,48000,48000,6500,14,210,10,(Z)
Wyoming,24000,25000,1300,5,30,-,-
